Canton;Candidato; Partido 
Cuenca;Marcelo Cabrera Palacios;Alianza "Participa con Igualdad"

Camilo Ponce Enríquez;Manuel Espinoza Barzallo;Alianza "Participa con Igualdad"

Chordeleg;Jorge Coello González;PS-FA
El Pan;Wilson Román Ramírez Rivas;Alianza PAIS
Girón;José Miguel Ángel Uzhca Guamán;Alianza PAIS
Guachapala;Raúl Remigio Delgado Orellana;Alianza PAIS
Gualaceo;Juan Diego Bustos Samaniego;Alianza PAIS
Nabón;Magali Quezada Minga;Pachakutik
Oña;Germania Ullauri Vallejo;Avanza
Paute;Helioth Onofre Trelles Méndez;CREO
Pucará;Segundo Rogelio Reyes Delgado;Alianza PAIS
San Fernando;Marco Peña;PS-FA
Santa Isabel;Rodrigo Quezada Ramón;MPD
Sevilla de Oro;Víctor Aurelio Rubio Fajardo;Alianza "Participa con Igualdad"

Sigsig;Marcelino Granda Granda;MPD
Guaranda;Ramsses Torres;SUMA
Caluma;Angel Pachala Iza;PRIAN
Chillanes;Ramiro Trujillo Mena;Avanza
Chimbo;César Augusto Véloz Cevallos;Avanza
Echeandía;Patricio Escudero Sánchez;Alianza PAIS
Las Naves;Froilán Aldáz Nuñez;PSC
San Miguel;Simón Yánez Olalla;Movimiento Agrario de Integración San Miguel

Azogues;Virgilio Saquicela;CREO
Biblián;Guillermo Espinoza Sánchez;Pachakutik
Cañar;Belisario Chimborazo;Pachakutik
Déleg;Dario Tito;Alianza PAIS
El Tambo;Luis Alfredo Pinguil Dutan;Pachakutik
La Troncal;Amadeo Pacheco;PRE
Suscal;Angel Guaman Tacuri;Pachakutik
Tulcán;Julio Robles Guevara;Movimiento Social Conservador del Carchi

Bolívar;Jorge Angulo;Avanza
Espejo;Lenin Carrera;Avanza
Mira;Walter Villegas Guardado;Avanza
Montúfar;Juan Acosta;Movimiento Integración Democrática del Carchi

San Pedro de Huaca;Nilo Reascos Heredia;Movimiento Social Conservador del Carchi

Latacunga;Patricio Sánchez Yanez;Avanza
La Maná;Juan Villamar;PS-FA
Pangua;Juan Muñoz;Alianza PAIS
Pujilí;Fernando Matute;Alianza PAIS
Salcedo;Hector Gustavo Gutiérrez;Pachakutik
Saquisilí;Juan Alomoto;Pachakutik
Sigchos;Mario Andino Escudero;MPD
Riobamba;Napoleón Cadena;CREO
Alausí;Manuel Vargas;Alianza PAIS
Chambo;Iván Rodrigo Pazmiño Nuñez;PSP
Chunchi;Carlos Aguirre Arellano;Avanza
Colta;Hermel Tayupanda Cuvi;Alianza PAIS
Cumandá;Marco Maquisaca;SUMA
Guamote;Luis Chuquimarca;Alianza PAIS
Guano;Oswaldo Estrada;Alianza PAIS
Pallatanga;Lenin Broz Tito Ruilova;PS-FA
Penipe;Robin Velastegui;Alianza PAIS
Machala;Carlos Falquez Aguilar;PSC
Arenillas;John César Cherrez;Avanza
Atahualpa;Exar Quezada;Alianza PAIS
Balsas;Andrés Pinto;CREO
Chilla;Herman Yupangui;Avanza
El Guabo;Guillermo Serrano;PSC
Huaquillas;Ronald Farfán;CREO
Las Lajas;Willian Valencia;Alianza PAIS
Marcabelí;Efren Calozuma Armijos;Avanza
Pasaje;Cesar Encalada;PSC
Piñas;Jaime W Granda Romero;PS-FA
Portovelo;Paulina López;Alianza PAIS
Santa Rosa;Clemente Esteban Bravo Riofrio;Movimiento Santarroseño Unido Revolucionario

Zaruma;Jhansy López;Avanza
Esmeraldas;Lenin Lara;Alianza PAIS
Atacames;Byron Aparicio Chiriboga;Alianza PAIS
Eloy Alfaro;Francisco Castro Ayovi;Alianza PAIS
Muisne;Walquer Vera Guerrero;Alianza PAIS
Quinindé;Manuel Casanova;Alianza PAIS
Río Verde;Dubal Guisamano Pantoja;PRE
San Lorenzo;Gustavo Samaniego Ochoa;Alianza PAIS
San Cristóbal - Puerto Baquerizo Moreno;Pedro Zapata;Alianza PAIS
Isabela;Pablo Gordillo Gil;Avanza
Santa Cruz;Leopoldo Bucheli Mora;Movimiento de Identidad Provincial

Guayaquil;Jaime Nebot;PSC
Jujan;Nicolás Ugalde;Avanza
Balao;Luis Castro Chiriboga;Alianza PAIS
Balzar;Cirilo Gonzáles Tomalá;PRE
Colimes;Arturo Zambrano Parrales;Alianza PAIS
Marcelino Maridueña;Nelson Herrera Zumba;Alianza PAIS
Daule;Pedro Salazar;PSC
Durán;Alexandra Arce;Alianza PAIS
El Empalme;Lenín Valle;PS-FA
El Triunfo;Andrés Macías;PSC
Bucay;José Miranda Sacoto;CREO
Isidro Ayora;Rita Muñoz Martillo;PSC
Lomas de Sargentillo;Segundo Navarrete Bueno;Alianza PAIS
Milagro;Denisse Robles;Alianza PAIS
Naranjal;Marcos Chica;Alianza PAIS
Naranjito;Marcos Onofre López;Alianza PAIS
Nobol;Mariana Jácome Álvarez;Alianza PAIS
Palestina;Luis Palma López;PSC
Pedro Carbo;Ignacio Figueroa;Alianza País
Gral. Villamil - Playas;Miriam Lucas;Alianza PAIS
